,summary
0,"I AM CURIOUS-YELLOW is a good film for anyone wanting to study the meat and potatoes of Swedish cinema. But really, this film doesn't have much of a plot"
1,risible and pretentious steaming pile. It doesn't matter what one's political views are because this film can hardly be taken seriously on any level.
2,This film is interesting as an experiment but tells no cogent story. One might feel virtuous for sitting thru it because it touches on so many IMPORTANT issues but it does so without any discernable motive.
3,"This film was probably inspired by Godard's Masculin, féminin and I urge you to see that film instead. A movie of its time, and place"
4,"Oh, brother...after hearing about this ridiculous film for umpteen years all I can think of is that old Peggy Lee song..brbr""Is that all there is??""...I was just an early teen when this smoked"
5,One of the worst films I've ever seen! I've never seen a film that was so unwatchable! I've never seen a film that was so unwatchable!
6,"I've never seen so many mistakes in a biopic. I could write a whole list of factual errors, but it would go on for pages. In all, I believe that Lucille Ball is one of..."
7,"Rachel York's portrayal of Lucille Ball is absolutely awful. Danny Pino's portrayal of Desi Arnaz is horrible. The casting of Lucille Ball and Desi Arnaz in ""Before the Laughter"" is much better compared to this."
8,"Peter Bogdanovich's ""They All Laughed"" is a waste of time, money, and talent... but it's a good movie anyway."
9,"Peter Bogdonavitch's out-of-touch, out-of-touch, out-of-touch, out-of-touch, out-of-touch, out-of-touch, out-of-touch"
10,"It was great to see some of my favorite stars of 30 years ago including John Ritter, Ben Gazarra and Audrey Hepburn. They looked quite wonderful. They were not given any characters or good lines to work with."
11,"It's a waste of time, money, and talent. It's a waste of time, money, and talent. It's a waste of time. It's a waste of talent. It's a waste of"
12,"Never cast models and Playboy bunnies in your films! Bob Fosse's ""Star 80"" about Dorothy Stratten, of whom Bogdanovich was obsessed enough to have married her SISTER after her murder at the hands of her low-"
13,"Its not the cast. A finer group of actors, you could not find. Its not the setting. The director is in love with New York City, and by the end of the film, so are we all!"
14,"""They All Laughed"" is a very boring movie. I will keep this movie in my collection only because of these attractions (manly Dorothy Stratten)"
15,Don't watch this movie! Don't watch it! Don't watch it! Don't watch it! Don't watch it! Don't watch it! Don't watch it! Don't watch it
16,One of Audrey Hepburn's last movies. I was pretty disappointed in what I believe was one of her last movies. I'll always love John Ritter best in slapstick. He was just too pathetic here.
17,"One of the worst films I've seen in a long, long time........"
18,"I think I will make a movie next weekend. Oh wait, I'm working..oh I'm sure I can fit it in. It looks like whoever made this film fit it in. I hope the makers of this crap"
19,TZC is the worst movie I've ever seen. TZC is the worst movie I've ever seen. TZC is the worst movie I've ever seen. TZC is the worst movie I'
20,"If you're going to make a zombie movie, don't waste your time and money on this one. brbrbrbrbrbrbrbrbrbrbrbr"
21,"Mindless 3-D movie about flesh-eating zombies in a 3 story within a movie chronicle. And yes, we get to see zombies eating human flesh parts in 3D!!"
22,"The worst 3D movie I've ever seen, and it's nudity-free............"
