,summary
0,"A very fine film about the discovery of sexuality. So many movies have been made around this period but really captures what it feels like to be a teenager and how that can change our lives forever,"
1,"The French film ""Le Swimming"" (The Triplets) is a swimming drama with an undercurrent of psychological intrigue."
2,"The film ""Le Havre"" (Little Havana) by French director Marie-Josee Hermet is a very special movie."
3,"This is a film that will have you swimming with it.br /> Filmed in France, this drama was directed by Jean-Pierre and Luc Dardenne who also made the Oscar winning ""The Artist""."
4,"The film is called "" Floriane et Marie"" (The Birth of the Octopus) and it was directed by Jean-Pierre Dardenne."
5,"""I'm not a man, I am an animal"".br /> The film is about two girls who go on holiday to the Bahamas with their best friend and are taken by surprise when they discover that she has been having sex in public."
6,The film is a romantic drama about three teenage girls who are involved in the development of their sexual feelings for one another.
7,"""Naissance des pieuvres"" is a French movie about three teenagers, played by Gael Garcia Bernal ('The Motorcycle Diaries), Jean Dujardin and Catherine Deneuve who are all struggling with their own sexuality."
8,French director Marie-Josee Sciamma's Water Lilies is a ballet about three teenage girls who form an unlikely friendship when they join their local swimming pool team.
9,'Water Lillies' is a little film that will make you want to go and see the amusement park.
10,The film is a coming-of age story about three girls who are forced to come together when their mother dies.
11,Louse Blache is a novel by the French writer and poet Michel Houellebecq.
12,"The film opens with a shot of the swimming pool in front, its walls covered by water lilies."
13,"The 3 girls in Marie Sciamma, a French film by the acclaimed puppet maker Renae Rebouy-Bretagne ('The Girl with her Yellow Hair), are three teenagers who find themselves on an ""unnatural"" journey to selfabsorption."
14,The Librarians is a romantic comedy about two librarians who fall in love and have to fight for their affection.
15,"The New York Times's film critic AO Scott says the new Mary Parker Posey movie is a ""vehicle"" for her charm, but that it lacks its own memorable moments."
16,"Mary Posey, Sarah Parker and the cast of That Girl are all in a good mood for their latest outing."
17,"I'm not a big fan of Cameron Diaz movies, but this one is pretty good."
18,"Parker Posey plays a young librarian in this movie, which is about the friendship she develops with an older woman who works at her place of work."
19,"Parker Posey, star of the hit film 'Breakfast at Tiffany's.’ (Photo: Warner Bros)"
20,"A girl who's had a bad day at work decides to have one good after she meets an ex-boyfriend, and the whole town comes together for her."
21,The film is a romcom about two lovers who meet up at an all-night party and end their relationship after one night.
22,A young woman (Parker) is thrown into a life-changing situation when she meets an aspiring Turkish musician in New York.
23,"Parker Posey plays a librarian in ""Mary"", an independent film about the ups and down of being at work on 800-273-3217 days."
24,"A great movie with a good story and an amazing performance from Parker Posey.<n> The Party Girl is the perfect film for anyone who likes to have fun on Saturday night, but doesn't want it too hot or steamy!"
25,"A young man (Parker Posey) is thrown into a life-changing situation when he meets the coolest girl in town, played by actress and singer Carly Rae Jepsen."
26,"The Fault in Our Stars is a great movie, but it's not the best of times."
27,This is the poster for a library in America that's been missing since 1999.<n>br />
28,"I'm not a big fan of the movie, but it was fun to see them do some different things."
29,"Watch Game of Thrones season six episode seven online free, as the Lannisters try to save their marriage and Daenerys battles for her life."
30,Mellisa's meltdown on The Real Housewives of New York City was so bad it made me want to throw up!
31,What is your favourite reality show?<n> The Apprentice will easily make my top time watched shows.
32,"Donald Trump's reality TV show ""The Apprentice"" has been a hit on US television for the past 10 years."
33,Donald Trump's reality show The Apprentice has come to an end after its final season on the US TV network.
34,I'm not sure if you know or have read my previous reviews of The Apprentice but this season has been a different story.
35,"The film is called Sweet Shirley, it was made in 1920's America and the cast of actors are great."
36,"The cast of Anne Hathaway's new stage play is a fine mix, with the young star making her debut in this adaptation."
37,"The story of Anne Hathaway's life as a teenager from the source book ""Anne Green Gables"" to Disney film In Island Of Young People is an unusual one, but it does not have much in common with other adaptations."
38,"The brooch in ""O'Day"" is a simple, elegant piece of jewellery made from brass and gold."
39,"I'm not a big fan of documentaries, but this is one that will make you want to go back in time and watch more."
40,Martin Scorcese's American Cinema - A Retro Guide is a must-see for any film fan.
41,"Martin Scorsese is one of the most influential film directors in history.br /> Filmed at London's Royal Albert Hall, this documentary traces his career from a young man who wanted to make films for himself and then went on (for many years)to become an international star with such classics as Raging Bull or The Godfather: Part II"
42,"Martin Scorcese's A Personal Journey through American Movies is a fascinating, wide-ranging look at Hollywood cinema."
43,The director as a filmmaker is one of the most important and influential figures in film.br />
44,"I'm not a fan of Martin Scorsese.<n> and his movies are just so good, they make you want to go back in time for more hours on end"
45,"Martin Scorsese's latest documentary, The Man in the High Castle: A Retro-Looking Look at Film from 1960 to Today is a fascinating look back on some of his most iconic films."
46,"This is a video of me crying while watching the film The Godfather.<n> I would never have thought that this was possible, but it has been an amazing experience to watch and listen..."
47,I watched Martin Scorsese's The Departed on Sunday night and it was the best film ever made.
48,I've been to see CCCC with my family and we are very happy.br />
49,"Harpreet Kaur, the daughter of former Indian Prime Minister Manmohan Singh and actress Preiti Rao Hydari are seen playing two roles in a film by debutante director Aanand L Rai."
50,"Zinta hai kya?, aur shadi nahin...!.....!!!......"
51,"A surrogate mother is used to carry a child for two couples in the film, which also stars Preity Zinta and Salman Khan."
52,"Salman, Preity and Madhu are back on the big screen in Karbala.CBR"
53,"Salman Khan, Madhuri Dixit and Rimple are in a love story.<n> Salary: £231,000 (flexible)"
54,"Hey guys i'm a big fan of Rani Mukherjee and this movie ""Ladies vs Ricky Bahl"" I watched it over again today."
55,"The movie ""Como Gost Era o Meu Francs"" ('The Powder of the Indians) is a historical drama about two battles between French and Portuguese Europeans in Brazil."
56,"I remember watching this movie when it was first released.br /> It's a classic of the 1970 and 1980 years, with its many references to other films from that era such as ""The Godfather"" or even more recently - Michael Jackson biopic Thriller"
57,It's a film that will make you want to run away from the cinema.br />
58,"The film ""Elite Squad"" is a historical thriller set in the 16th century, where French and Portuguese mercenaries are sent to Brazil for training."
59,"I have been looking for a copy of the film ""Le Havre"", which is one my all-time favourite films."
60,It's a film that will make you want to run away from the cinema.br />
61,"Werner Herzog's latest film, The Yahuda: A Savage Indian Tale is out in the US this week."
62,"Anna Broinowski's film Forbidden, Love and the Mind of a Muslim Woman is released in Australia on 26 March 2014."
63,"The story of a Jordanian woman who was falsely accused by the government and her family in Jordan, after writing an acclaimed book about life under King Abdullah II - is told through two halves."
64,"A bizarre, disturbing and at times baffling story of how a woman who was once one the most famous women in Jordan is now accused by her own people - as well that she has been falsely implicated herself."
65,"Norma Desmond, the author of Forbidden Love and a con artist who conned millions from readers in her bestseller is revealed to be an amateur film-maker."
66,"Norma Khobruri's new documentary, Any Lie?: A Story of Love and Cigarette Smoking in Australia is a very funny film that makes me think I am not the only one who thinks this story should be told."
67,"Forbid Love is a documentary about the infamous Howard Hughes hoax., directed by Anna Broinowski"
68,I just watched this film for the first time last night and it was a great experience.br />
69,Space Cobra is a 1966 Japanese animation film that was released in the UK on 20 June 1966..
70,What is your favourite anime?<n>br />I'm a big fan of Evangelion and the 3D animation.
71,"Helen Hunt's latest film, This is the Place (opening in Canada on Friday), tells of a police officer who investigates an unusual case involving two young women."
72,"This is one of the best movies I have ever seen.<n>... and it's not just because she has a voice that makes this movie so special, but also for her acting skills!"
73,A good police thriller with a twist.<n> not an ideal film but it has some interesting scenes and is well worth watching
74,"The film version of the TV series ""The Silence Of Earth"" is a very good example."
75,"The film was a hoot to watch, with the lead character being played by one of Hollywood's most gifted actors."
76,"In this week's episode of The Late Show with David Letterman, actor Steven Hunt talks about his role in the film Serial."
77,"Helen Hunt plays a policewoman who's being tracked down by the local town of Riverside, Wisconsin in this highly charged and award-winning TV movie."
78,"Watch The Woman in Black online free, watch the film now on TV channel BBC One and iPlayer."
79,As Good as TV is a movie I've been wanting to see for quite some time.
80,"Watch The Woman in Black online free, watch the film now on TV channel BBC One and iPlayer."
81,"""Deaths House"" is a film that'll make you want to run away from the cinema and never return."
82,"Rex is a character that most people have heard of but few know much about.<n> This film caught me off guard when it started out in an Cafe located on Arizona and Richard Grieco,(Rex), ""Dead Easy"" dressed up as he decides to has something for the waitress at his cafe..."
83,"I'm not a big fan of burnt, but this film is worth the trip.<n>"
84,"The Cream concert on the new DVD ""A Night at Clapton's Crossroads"" was a wonderful show."
85,"Cream are one of the greatest bands ever, and today they have brought their best to a sold out crowd at London's O2 Arena."
86,"The last time I saw Eric Clapton in a live setting was at the Isle of Wight Festival back when he played with his old band, Cream."
87,"This is the best Cream DVD i have ever watched.<n> The quality of this performance was just mind blowing, it's like watching a live show on film!"
88,"Cream are one of the greatest bands in rock 'n' roll history, and this is a concert you will never forget."
